geo_level,province,district,caste,sex,rowtotal,a_readwrite,b_readonly,c_noreadwrite,d_notstd,literacy_rate,literacy_rate_male,literacy_rate_female,literacy_rate_gap_pts
district,Sudurpaschim,Kailali,Sherpa,Total,30,28,0,2,0,93.33333333,100,86.66666667,13.33
district,Sudurpaschim,Kailali,Sonar,Female,718,517,5,196,0,72.00557103,91.06583072,72.00557103,19.06
district,Sudurpaschim,Kailali,Sonar,Male,638,581,1,55,1,91.06583072,91.06583072,72.00557103,19.06
district,Sudurpaschim,Kailali,Sonar,Total,1356,1098,6,251,1,80.97345133,91.06583072,72.00557103,19.06
district,Sudurpaschim,Kailali,Sundi,Female,30,21,0,9,0,70,91.89189189,70,21.89
district,Sudurpaschim,Kailali,Sundi,Male,37,34,0,3,0,91.89189189,91.89189189,70,21.89
district,Sudurpaschim,Kailali,Sundi,Total,67,55,0,12,0,82.08955224,91.89189189,70,21.89
district,Sudurpaschim,Kailali,Sunuwar,Female,478,349,7,122,0,73.0125523,91.52542373,73.0125523,18.51
district,Sudurpaschim,Kailali,Sunuwar,Male,413,378,2,32,1,91.52542373,91.52542373,73.0125523,18.51
district,Sudurpaschim,Kailali,Sunuwar,Total,891,727,9,154,1,81.59371493,91.52542373,73.0125523,18.51
district,Sudurpaschim,Kailali,Tamang,Female,1102,820,5,277,0,74.41016334,88.50346878,74.41016334,14.09
district,Sudurpaschim,Kailali,Tamang,Male,1009,893,3,113,0,88.50346878,88.50346878,74.41016334,14.09
district,Sudurpaschim,Kailali,Tamang,Total,2111,1713,8,390,0,81.14637613,88.50346878,74.41016334,14.09
district,Sudurpaschim,Kailali,Tatma/Tatwa,Female,22,14,1,7,0,63.63636364,95.23809524,63.63636364,31.6
district,Sudurpaschim,Kailali,Tatma/Tatwa,Male,21,20,0,1,0,95.23809524,95.23809524,63.63636364,31.6
district,Sudurpaschim,Kailali,Tatma/Tatwa,Total,43,34,1,8,0,79.06976744,95.23809524,63.63636364,31.6
district,Sudurpaschim,Kailali,Teli,Female,116,89,1,26,0,76.72413793,91.22807018,76.72413793,14.5
district,Sudurpaschim,Kailali,Teli,Male,114,104,0,10,0,91.22807018,91.22807018,76.72413793,14.5
district,Sudurpaschim,Kailali,Teli,Total,230,193,1,36,0,83.91304348,91.22807018,76.72413793,14.5
district,Sudurpaschim,Kailali,Thakali,Female,43,35,0,8,0,81.39534884,92.5,81.39534884,11.1
district,Sudurpaschim,Kailali,Thakali,Male,40,37,0,3,0,92.5,92.5,81.39534884,11.1
district,Sudurpaschim,Kailali,Thakali,Total,83,72,0,11,0,86.74698795,92.5,81.39534884,11.1
district,Sudurpaschim,Kailali,Thakuri,Female,20297,16066,100,4119,12,79.15455486,93.99381147,79.15455486,14.84
district,Sudurpaschim,Kailali,Thakuri,Male,18098,17011,48,1035,4,93.99381147,93.99381147,79.15455486,14.84
district,Sudurpaschim,Kailali,Thakuri,Total,38395,33077,148,5154,16,86.14923818,93.99381147,79.15455486,14.84
district,Sudurpaschim,Kailali,Tharu,Female,156635,105085,2208,49279,63,67.08909248,78.73117018,67.08909248,11.64
district,Sudurpaschim,Kailali,Tharu,Male,146576,115401,1134,29975,66,78.73117018,78.73117018,67.08909248,11.64
district,Sudurpaschim,Kailali,Tharu,Total,303211,220486,3342,79254,129,72.71701884,78.73117018,67.08909248,11.64
district,Sudurpaschim,Kailali,Yadav,Female,315,224,1,90,0,71.11111111,84.90566038,71.11111111,13.79
district,Sudurpaschim,Kailali,Yadav,Male,371,315,1,55,0,84.90566038,84.90566038,71.11111111,13.79
district,Sudurpaschim,Kailali,Yadav,Total,686,539,2,145,0,78.57142857,84.90566038,71.11111111,13.79
