geo_level,province,district,sex,age_group,population,attending,ever_attended_stopped,never_attended,not_stated,attendance_rate,never_attended_rate,attendance_rate_male,never_attended_rate_male,attendance_rate_female,never_attended_rate_female,attendance_rate_gap_pts,never_attended_rate_gap_pts
district,Bagmati,Dhading,Female,9 Year,2771,2734,7,30,0,98.66,1.08,98.32,0.97,98.66,1.08,-0.34,-0.11
district,Bagmati,Dhading,Male,9 Year,2797,2750,20,27,0,98.32,0.97,98.32,0.97,98.66,1.08,-0.34,-0.11
district,Bagmati,Dhading,Female,All Ages,47227,34529,10956,1734,8,73.11,3.67,73.25,2.96,73.11,3.67,0.14,-0.71
district,Bagmati,Dhading,Male,All Ages,48868,35796,11618,1445,9,73.25,2.96,73.25,2.96,73.11,3.67,0.14,-0.71
district,Bagmati,Dolakha,Female,10 Year,1505,1369,122,14,0,90.96,0.93,90.75,1.25,90.96,0.93,-0.21,0.32
district,Bagmati,Dolakha,Male,10 Year,1525,1384,122,19,0,90.75,1.25,90.75,1.25,90.96,0.93,-0.21,0.32
district,Bagmati,Dolakha,Female,11 Year,1270,1204,56,10,0,94.8,0.79,93.23,0.97,94.8,0.79,-1.57,0.18
district,Bagmati,Dolakha,Male,11 Year,1240,1156,72,12,0,93.23,0.97,93.23,0.97,94.8,0.79,-1.57,0.18
district,Bagmati,Dolakha,Female,12 Year,1640,1579,45,16,0,96.28,0.98,95.51,0.68,96.28,0.98,-0.77,-0.3
district,Bagmati,Dolakha,Male,12 Year,1627,1554,61,11,1,95.51,0.68,95.51,0.68,96.28,0.98,-0.77,-0.3
district,Bagmati,Dolakha,Female,13 Year,1623,1576,40,7,0,97.1,0.43,96.37,0.68,97.1,0.43,-0.73,0.25
district,Bagmati,Dolakha,Male,13 Year,1626,1567,48,11,0,96.37,0.68,96.37,0.68,97.1,0.43,-0.73,0.25
district,Bagmati,Dolakha,Female,14 Year,1636,1576,51,9,0,96.33,0.55,95.98,0.74,96.33,0.55,-0.35,0.19
district,Bagmati,Dolakha,Male,14 Year,1615,1550,53,12,0,95.98,0.74,95.98,0.74,96.33,0.55,-0.35,0.19
district,Bagmati,Dolakha,Female,15 Year,1605,1511,78,16,0,94.14,1.0,91.91,0.91,94.14,1.0,-2.23,-0.09
district,Bagmati,Dolakha,Male,15 Year,1532,1408,110,14,0,91.91,0.91,91.91,0.91,94.14,1.0,-2.23,-0.09
district,Bagmati,Dolakha,Female,16 Year,1161,1042,109,10,0,89.75,0.86,86.62,1.26,89.75,0.86,-3.13,0.4
district,Bagmati,Dolakha,Male,16 Year,1353,1172,164,17,0,86.62,1.26,86.62,1.26,89.75,0.86,-3.13,0.4
district,Bagmati,Dolakha,Female,17 Year,902,713,180,9,0,79.05,1.0,74.28,1.55,79.05,1.0,-4.77,0.55
district,Bagmati,Dolakha,Male,17 Year,968,719,233,15,1,74.28,1.55,74.28,1.55,79.05,1.0,-4.77,0.55
district,Bagmati,Dolakha,Female,18 Year,869,502,336,30,1,57.77,3.45,53.99,3.39,57.77,3.45,-3.78,-0.06
district,Bagmati,Dolakha,Male,18 Year,915,494,390,31,0,53.99,3.39,53.99,3.39,57.77,3.45,-3.78,-0.06
district,Bagmati,Dolakha,Female,19 Year,555,198,335,22,0,35.68,3.96,37.31,3.7,35.68,3.96,1.63,-0.26
district,Bagmati,Dolakha,Male,19 Year,595,222,351,22,0,37.31,3.7,37.31,3.7,35.68,3.96,1.63,-0.26
district,Bagmati,Dolakha,Female,20 Year,606,71,496,39,0,11.72,6.44,13.15,4.34,11.72,6.44,1.43,-2.1
district,Bagmati,Dolakha,Male,20 Year,715,94,590,31,0,13.15,4.34,13.15,4.34,11.72,6.44,1.43,-2.1
district,Bagmati,Dolakha,Female,21 Year,571,37,494,40,0,6.48,7.01,9.01,6.01,6.48,7.01,2.53,-1.0
district,Bagmati,Dolakha,Male,21 Year,566,51,481,34,0,9.01,6.01,9.01,6.01,6.48,7.01,2.53,-1.0
district,Bagmati,Dolakha,Female,22 Year,676,30,592,54,0,4.44,7.99,4.58,6.38,4.44,7.99,0.14,-1.61
district,Bagmati,Dolakha,Male,22 Year,721,33,642,46,0,4.58,6.38,4.58,6.38,4.44,7.99,0.14,-1.61
district,Bagmati,Dolakha,Female,23 Year,657,11,606,40,0,1.67,6.09,4.75,4.92,1.67,6.09,3.08,-1.17
district,Bagmati,Dolakha,Male,23 Year,569,27,514,28,0,4.75,4.92,4.75,4.92,1.67,6.09,3.08,-1.17
district,Bagmati,Dolakha,Female,24 Year,740,11,657,72,0,1.49,9.73,3.11,5.66,1.49,9.73,1.62,-4.07
district,Bagmati,Dolakha,Male,24 Year,707,22,645,40,0,3.11,5.66,3.11,5.66,1.49,9.73,1.62,-4.07
district,Bagmati,Dolakha,Female,25 Year,829,5,767,57,0,0.6,6.88,0.42,5.13,0.6,6.88,-0.18,-1.75
district,Bagmati,Dolakha,Male,25 Year,721,3,681,37,0,0.42,5.13,0.42,5.13,0.6,6.88,-0.18,-1.75
district,Bagmati,Dolakha,Female,5 Year,1288,1188,2,97,1,92.24,7.53,91.44,7.99,92.24,7.53,-0.8,0.46
district,Bagmati,Dolakha,Male,5 Year,1414,1293,3,113,5,91.44,7.99,91.44,7.99,92.24,7.53,-0.8,0.46
district,Bagmati,Dolakha,Female,6 Year,1421,1370,1,50,0,96.41,3.52,97.39,2.47,96.41,3.52,0.98,-1.05
district,Bagmati,Dolakha,Male,6 Year,1415,1378,1,35,1,97.39,2.47,97.39,2.47,96.41,3.52,0.98,-1.05
district,Bagmati,Dolakha,Female,7 Year,1315,1286,0,29,0,97.79,2.21,98.63,1.29,97.79,2.21,0.84,-0.92
district,Bagmati,Dolakha,Male,7 Year,1313,1295,1,17,0,98.63,1.29,98.63,1.29,97.79,2.21,0.84,-0.92
district,Bagmati,Dolakha,Female,8 Year,1348,1323,3,22,0,98.15,1.63,98.36,1.28,98.15,1.63,0.21,-0.35
district,Bagmati,Dolakha,Male,8 Year,1401,1378,5,18,0,98.36,1.28,98.36,1.28,98.15,1.63,0.21,-0.35
district,Bagmati,Dolakha,Female,9 Year,1384,1373,3,8,0,99.21,0.58,98.7,1.23,99.21,0.58,-0.51,0.65
district,Bagmati,Dolakha,Male,9 Year,1461,1442,1,18,0,98.7,1.23,98.7,1.23,99.21,0.58,-0.51,0.65
district,Bagmati,Dolakha,Female,All Ages,23601,17975,4973,651,2,76.16,2.76,76.01,2.42,76.16,2.76,-0.15,-0.34
district,Bagmati,Dolakha,Male,All Ages,23999,18242,5168,581,8,76.01,2.42,76.01,2.42,76.16,2.76,-0.15,-0.34
district,Bagmati,Kathmandu,Female,10 Year,13497,12574,832,91,0,93.16,0.67,93.0,0.55,93.16,0.67,-0.16,-0.12
district,Bagmati,Kathmandu,Male,10 Year,16567,15408,1067,91,1,93.0,0.55,93.0,0.55,93.16,0.67,-0.16,-0.12
district,Bagmati,Kathmandu,Female,11 Year,12281,11887,332,62,0,96.79,0.5,96.6,0.48,96.79,0.5,-0.19,-0.02
district,Bagmati,Kathmandu,Male,11 Year,14367,13878,420,69,0,96.6,0.48,96.6,0.48,96.79,0.5,-0.19,-0.02
district,Bagmati,Kathmandu,Female,12 Year,13889,13547,259,83,0,97.54,0.6,97.04,0.63,97.54,0.6,-0.5,0.03
district,Bagmati,Kathmandu,Male,12 Year,16523,16034,385,104,0,97.04,0.63,97.04,0.63,97.54,0.6,-0.5,0.03
district,Bagmati,Kathmandu,Female,13 Year,13841,13543,220,78,0,97.85,0.56,97.34,0.52,97.85,0.56,-0.51,-0.04
district,Bagmati,Kathmandu,Male,13 Year,16002,15576,342,83,1,97.34,0.52,97.34,0.52,97.85,0.56,-0.51,-0.04
district,Bagmati,Kathmandu,Female,14 Year,14585,14178,282,125,0,97.21,0.86,96.48,0.69,97.21,0.86,-0.73,-0.17
district,Bagmati,Kathmandu,Male,14 Year,16867,16273,478,116,0,96.48,0.69,96.48,0.69,97.21,0.86,-0.73,-0.17
district,Bagmati,Kathmandu,Female,15 Year,12268,11713,431,124,0,95.48,1.01,93.77,1.04,95.48,1.01,-1.71,0.03
district,Bagmati,Kathmandu,Male,15 Year,14711,13795,763,153,0,93.77,1.04,93.77,1.04,95.48,1.01,-1.71,0.03
district,Bagmati,Kathmandu,Female,16 Year,7232,6438,653,141,0,89.02,1.95,85.9,2.01,89.02,1.95,-3.12,0.06
district,Bagmati,Kathmandu,Male,16 Year,9530,8186,1152,192,0,85.9,2.01,85.9,2.01,89.02,1.95,-3.12,0.06
district,Bagmati,Kathmandu,Female,17 Year,3779,2824,812,143,0,74.73,3.78,69.01,4.37,74.73,3.78,-5.72,0.59
district,Bagmati,Kathmandu,Male,17 Year,5441,3755,1448,238,0,69.01,4.37,69.01,4.37,74.73,3.78,-5.72,0.59
district,Bagmati,Kathmandu,Female,18 Year,3597,1795,1535,267,0,49.9,7.42,44.6,7.34,49.9,7.42,-5.3,-0.08
district,Bagmati,Kathmandu,Male,18 Year,5419,2417,2603,398,1,44.6,7.34,44.6,7.34,49.9,7.42,-5.3,-0.08
district,Bagmati,Kathmandu,Female,19 Year,2549,691,1652,206,0,27.11,8.08,28.99,7.87,27.11,8.08,1.88,-0.21
district,Bagmati,Kathmandu,Male,19 Year,3470,1006,2191,273,0,28.99,7.87,28.99,7.87,27.11,8.08,1.88,-0.21
district,Bagmati,Kathmandu,Female,20 Year,3290,355,2558,377,0,10.79,11.46,12.0,9.68,10.79,11.46,1.21,-1.78
district,Bagmati,Kathmandu,Male,20 Year,4310,517,3375,417,1,12.0,9.68,12.0,9.68,10.79,11.46,1.21,-1.78
district,Bagmati,Kathmandu,Female,21 Year,2892,193,2351,348,0,6.67,12.03,7.82,9.89,6.67,12.03,1.15,-2.14
district,Bagmati,Kathmandu,Male,21 Year,3428,268,2821,339,0,7.82,9.89,7.82,9.89,6.67,12.03,1.15,-2.14
district,Bagmati,Kathmandu,Female,22 Year,3934,192,3225,517,0,4.88,13.14,5.41,9.91,4.88,13.14,0.53,-3.23
district,Bagmati,Kathmandu,Male,22 Year,4287,232,3630,425,0,5.41,9.91,5.41,9.91,4.88,13.14,0.53,-3.23
district,Bagmati,Kathmandu,Female,23 Year,4191,118,3515,558,0,2.82,13.31,5.19,9.76,2.82,13.31,2.37,-3.55
district,Bagmati,Kathmandu,Male,23 Year,4161,216,3538,406,1,5.19,9.76,5.19,9.76,2.82,13.31,2.37,-3.55
district,Bagmati,Kathmandu,Female,24 Year,4434,137,3773,524,0,3.09,11.82,3.58,10.25,3.09,11.82,0.49,-1.57
district,Bagmati,Kathmandu,Male,24 Year,4389,157,3782,450,0,3.58,10.25,3.58,10.25,3.09,11.82,0.49,-1.57
district,Bagmati,Kathmandu,Female,25 Year,5747,139,4648,960,0,2.42,16.7,2.98,12.13,2.42,16.7,0.56,-4.57
district,Bagmati,Kathmandu,Male,25 Year,5275,157,4477,640,1,2.98,12.13,2.98,12.13,2.42,16.7,0.56,-4.57
district,Bagmati,Kathmandu,Female,5 Year,12309,11812,73,415,9,95.96,3.37,95.9,3.34,95.96,3.37,-0.06,-0.03
district,Bagmati,Kathmandu,Male,5 Year,14607,14008,101,488,10,95.9,3.34,95.9,3.34,95.96,3.37,-0.06,-0.03
district,Bagmati,Kathmandu,Female,6 Year,12714,12474,70,169,1,98.11,1.33,97.59,1.75,98.11,1.33,-0.52,0.42
district,Bagmati,Kathmandu,Male,6 Year,15406,15035,97,269,5,97.59,1.75,97.59,1.75,98.11,1.33,-0.52,0.42
district,Bagmati,Kathmandu,Female,7 Year,12492,12332,60,99,1,98.72,0.79,98.57,0.82,98.72,0.79,-0.15,0.03
district,Bagmati,Kathmandu,Male,7 Year,14636,14426,86,120,4,98.57,0.82,98.57,0.82,98.72,0.79,-0.15,0.03
district,Bagmati,Kathmandu,Female,8 Year,12989,12814,79,96,0,98.65,0.74,98.63,0.75,98.65,0.74,-0.02,0.01
district,Bagmati,Kathmandu,Male,8 Year,15643,15428,98,117,0,98.63,0.75,98.63,0.75,98.65,0.74,-0.02,0.01
district,Bagmati,Kathmandu,Female,9 Year,12322,12157,92,73,0,98.66,0.59,98.66,0.62,98.66,0.59,0.0,0.03
district,Bagmati,Kathmandu,Male,9 Year,14994,14793,107,93,1,98.66,0.62,98.66,0.62,98.66,0.59,0.0,0.03
district,Bagmati,Kathmandu,Female,All Ages,184832,151913,27452,5456,11,82.19,2.95,82.52,2.49,82.19,2.95,0.33,-0.46
district,Bagmati,Kathmandu,Male,All Ages,220033,181565,32961,5481,26,82.52,2.49,82.52,2.49,82.19,2.95,0.33,-0.46
district,Bagmati,Kavrepalanchok,Female,10 Year,2797,2571,206,20,0,91.92,0.72,91.48,0.68,91.92,0.72,-0.44,-0.04
district,Bagmati,Kavrepalanchok,Male,10 Year,3100,2836,243,21,0,91.48,0.68,91.48,0.68,91.92,0.72,-0.44,-0.04
district,Bagmati,Kavrepalanchok,Female,11 Year,2661,2521,118,22,0,94.74,0.83,93.75,0.86,94.74,0.83,-0.99,0.03
district,Bagmati,Kavrepalanchok,Male,11 Year,2690,2522,145,23,0,93.75,0.86,93.75,0.86,94.74,0.83,-0.99,0.03
district,Bagmati,Kavrepalanchok,Female,12 Year,3088,2989,78,21,0,96.79,0.68,95.22,1.08,96.79,0.68,-1.57,0.4
district,Bagmati,Kavrepalanchok,Male,12 Year,3161,3010,117,34,0,95.22,1.08,95.22,1.08,96.79,0.68,-1.57,0.4
district,Bagmati,Kavrepalanchok,Female,13 Year,3045,2912,109,24,0,95.63,0.79,95.47,0.78,95.63,0.79,-0.16,-0.01
district,Bagmati,Kavrepalanchok,Male,13 Year,3200,3055,120,25,0,95.47,0.78,95.47,0.78,95.63,0.79,-0.16,-0.01
district,Bagmati,Kavrepalanchok,Female,14 Year,3228,3055,149,24,0,94.64,0.74,92.87,0.9,94.64,0.74,-1.77,0.16
district,Bagmati,Kavrepalanchok,Male,14 Year,3100,2879,193,28,0,92.87,0.9,92.87,0.9,94.64,0.74,-1.77,0.16
district,Bagmati,Kavrepalanchok,Female,15 Year,3056,2822,202,32,0,92.34,1.05,90.19,1.24,92.34,1.05,-2.15,0.19
district,Bagmati,Kavrepalanchok,Male,15 Year,3069,2768,262,38,1,90.19,1.24,90.19,1.24,92.34,1.05,-2.15,0.19
district,Bagmati,Kavrepalanchok,Female,16 Year,2212,1908,268,36,0,86.26,1.63,83.48,1.97,86.26,1.63,-2.78,0.34
district,Bagmati,Kavrepalanchok,Male,16 Year,2391,1996,348,47,0,83.48,1.97,83.48,1.97,86.26,1.63,-2.78,0.34
district,Bagmati,Kavrepalanchok,Female,17 Year,1320,941,348,31,0,71.29,2.35,66.88,2.88,71.29,2.35,-4.41,0.53
district,Bagmati,Kavrepalanchok,Male,17 Year,1600,1070,484,46,0,66.88,2.88,66.88,2.88,71.29,2.35,-4.41,0.53
district,Bagmati,Kavrepalanchok,Female,18 Year,1217,574,595,48,0,47.17,3.94,44.7,3.84,47.17,3.94,-2.47,-0.1
district,Bagmati,Kavrepalanchok,Male,18 Year,1640,733,843,63,1,44.7,3.84,44.7,3.84,47.17,3.94,-2.47,-0.1
district,Bagmati,Kavrepalanchok,Female,19 Year,917,196,664,57,0,21.37,6.22,27.02,4.58,21.37,6.22,5.65,-1.64
district,Bagmati,Kavrepalanchok,Male,19 Year,1114,301,762,51,0,27.02,4.58,27.02,4.58,21.37,6.22,5.65,-1.64
district,Bagmati,Kavrepalanchok,Female,20 Year,1167,103,977,87,0,8.83,7.46,9.58,5.73,8.83,7.46,0.75,-1.73
district,Bagmati,Kavrepalanchok,Male,20 Year,1326,127,1123,76,0,9.58,5.73,9.58,5.73,8.83,7.46,0.75,-1.73
district,Bagmati,Kavrepalanchok,Female,21 Year,1022,55,886,81,0,5.38,7.93,4.86,5.79,5.38,7.93,-0.52,-2.14
district,Bagmati,Kavrepalanchok,Male,21 Year,1070,52,955,62,1,4.86,5.79,4.86,5.79,5.38,7.93,-0.52,-2.14
district,Bagmati,Kavrepalanchok,Female,22 Year,1241,35,1071,135,0,2.82,10.88,3.54,7.16,2.82,10.88,0.72,-3.72
district,Bagmati,Kavrepalanchok,Male,22 Year,1271,45,1135,91,0,3.54,7.16,3.54,7.16,2.82,10.88,0.72,-3.72
district,Bagmati,Kavrepalanchok,Female,23 Year,1248,13,1081,154,0,1.04,12.34,1.91,6.61,1.04,12.34,0.87,-5.73
district,Bagmati,Kavrepalanchok,Male,23 Year,1150,22,1052,76,0,1.91,6.61,1.91,6.61,1.04,12.34,0.87,-5.73
district,Bagmati,Kavrepalanchok,Female,24 Year,1403,21,1227,155,0,1.5,11.05,1.53,6.03,1.5,11.05,0.03,-5.02
district,Bagmati,Kavrepalanchok,Male,24 Year,1311,20,1212,79,0,1.53,6.03,1.53,6.03,1.5,11.05,0.03,-5.02
district,Bagmati,Kavrepalanchok,Female,25 Year,1531,12,1327,192,0,0.78,12.54,0.55,6.25,0.78,12.54,-0.23,-6.29
district,Bagmati,Kavrepalanchok,Male,25 Year,1455,8,1356,91,0,0.55,6.25,0.55,6.25,0.78,12.54,-0.23,-6.29
district,Bagmati,Kavrepalanchok,Female,5 Year,2599,2432,3,163,1,93.57,6.27,92.28,7.51,93.57,6.27,-1.29,1.24
district,Bagmati,Kavrepalanchok,Male,5 Year,2942,2715,5,221,1,92.28,7.51,92.28,7.51,93.57,6.27,-1.29,1.24
district,Bagmati,Kavrepalanchok,Female,6 Year,2643,2568,3,72,0,97.16,2.72,96.83,2.97,97.16,2.72,-0.33,0.25
district,Bagmati,Kavrepalanchok,Male,6 Year,2964,2870,6,88,0,96.83,2.97,96.83,2.97,97.16,2.72,-0.33,0.25
district,Bagmati,Kavrepalanchok,Female,7 Year,2372,2326,6,40,0,98.06,1.69,97.66,2.23,98.06,1.69,-0.4,0.54
district,Bagmati,Kavrepalanchok,Male,7 Year,2604,2543,3,58,0,97.66,2.23,97.66,2.23,98.06,1.69,-0.4,0.54
district,Bagmati,Kavrepalanchok,Female,8 Year,2643,2599,14,30,0,98.34,1.14,98.59,1.14,98.34,1.14,0.25,0.0
district,Bagmati,Kavrepalanchok,Male,8 Year,2905,2864,8,33,0,98.59,1.14,98.59,1.14,98.34,1.14,0.25,0.0
district,Bagmati,Kavrepalanchok,Female,9 Year,2752,2716,10,26,0,98.69,0.94,98.53,0.91,98.69,0.94,-0.16,-0.03
district,Bagmati,Kavrepalanchok,Male,9 Year,2855,2813,16,26,0,98.53,0.91,98.53,0.91,98.69,0.94,-0.16,-0.03
district,Bagmati,Kavrepalanchok,Female,All Ages,44162,33369,9342,1450,1,75.56,3.28,75.13,2.72,75.56,3.28,-0.43,-0.56
district,Bagmati,Kavrepalanchok,Male,All Ages,46918,35249,10388,1277,4,75.13,2.72,75.13,2.72,75.56,3.28,-0.43,-0.56
district,Bagmati,Lalitpur,Female,10 Year,3644,3368,246,29,1,92.43,0.8,90.98,0.8,92.43,0.8,-1.45,0.0
district,Bagmati,Lalitpur,Male,10 Year,4381,3986,360,35,0,90.98,0.8,90.98,0.8,92.43,0.8,-1.45,0.0
district,Bagmati,Lalitpur,Female,11 Year,3274,3138,113,23,0,95.85,0.7,95.02,0.94,95.85,0.7,-0.83,0.24
district,Bagmati,Lalitpur,Male,11 Year,3936,3740,159,37,0,95.02,0.94,95.02,0.94,95.85,0.7,-0.83,0.24
district,Bagmati,Lalitpur,Female,12 Year,3798,3678,94,26,0,96.84,0.68,95.74,0.74,96.84,0.68,-1.1,0.06
district,Bagmati,Lalitpur,Male,12 Year,4340,4155,152,32,1,95.74,0.74,95.74,0.74,96.84,0.68,-1.1,0.06
district,Bagmati,Lalitpur,Female,13 Year,3985,3862,99,24,0,96.91,0.6,95.31,0.79,96.91,0.6,-1.6,0.19
district,Bagmati,Lalitpur,Male,13 Year,4288,4087,167,34,0,95.31,0.79,95.31,0.79,96.91,0.6,-1.6,0.19
district,Bagmati,Lalitpur,Female,14 Year,4055,3900,129,26,0,96.18,0.64,95.23,0.76,96.18,0.64,-0.95,0.12
district,Bagmati,Lalitpur,Male,14 Year,4216,4015,168,32,1,95.23,0.76,95.23,0.76,96.18,0.64,-0.95,0.12
district,Bagmati,Lalitpur,Female,15 Year,3759,3566,152,40,1,94.87,1.06,92.43,0.92,94.87,1.06,-2.44,-0.14
district,Bagmati,Lalitpur,Male,15 Year,4136,3823,275,38,0,92.43,0.92,92.43,0.92,94.87,1.06,-2.44,-0.14
district,Bagmati,Lalitpur,Female,16 Year,2499,2277,191,30,1,91.12,1.2,87.9,1.34,91.12,1.2,-3.22,0.14
district,Bagmati,Lalitpur,Male,16 Year,2843,2499,306,38,0,87.9,1.34,87.9,1.34,91.12,1.2,-3.22,0.14
district,Bagmati,Lalitpur,Female,17 Year,1395,1102,268,25,0,79.0,1.79,73.44,3.01,79.0,1.79,-5.56,1.22
district,Bagmati,Lalitpur,Male,17 Year,1758,1291,414,53,0,73.44,3.01,73.44,3.01,79.0,1.79,-5.56,1.22
district,Bagmati,Lalitpur,Female,18 Year,1163,626,477,60,0,53.83,5.16,48.23,4.59,53.83,5.16,-5.6,-0.57
district,Bagmati,Lalitpur,Male,18 Year,1613,778,761,74,0,48.23,4.59,48.23,4.59,53.83,5.16,-5.6,-0.57
district,Bagmati,Lalitpur,Female,19 Year,837,271,512,54,0,32.38,6.45,29.75,7.29,32.38,6.45,-2.63,0.84
district,Bagmati,Lalitpur,Male,19 Year,1042,310,656,76,0,29.75,7.29,29.75,7.29,32.38,6.45,-2.63,0.84
district,Bagmati,Lalitpur,Female,20 Year,1125,132,883,110,0,11.73,9.78,12.52,8.73,11.73,9.78,0.79,-1.05
district,Bagmati,Lalitpur,Male,20 Year,1294,162,1017,113,2,12.52,8.73,12.52,8.73,11.73,9.78,0.79,-1.05
district,Bagmati,Lalitpur,Female,21 Year,879,58,735,86,0,6.6,9.78,6.8,7.74,6.6,9.78,0.2,-2.04
district,Bagmati,Lalitpur,Male,21 Year,1073,73,917,83,0,6.8,7.74,6.8,7.74,6.6,9.78,0.2,-2.04
district,Bagmati,Lalitpur,Female,22 Year,1211,52,1042,117,0,4.29,9.66,3.88,7.07,4.29,9.66,-0.41,-2.59
district,Bagmati,Lalitpur,Male,22 Year,1442,56,1284,102,0,3.88,7.07,3.88,7.07,4.29,9.66,-0.41,-2.59
district,Bagmati,Lalitpur,Female,23 Year,1148,29,999,120,0,2.53,10.45,3.2,7.35,2.53,10.45,0.67,-3.1
district,Bagmati,Lalitpur,Male,23 Year,1251,40,1119,92,0,3.2,7.35,3.2,7.35,2.53,10.45,0.67,-3.1
district,Bagmati,Lalitpur,Female,24 Year,1372,24,1186,160,2,1.75,11.66,2.05,7.39,1.75,11.66,0.3,-4.27
district,Bagmati,Lalitpur,Male,24 Year,1366,28,1237,101,0,2.05,7.39,2.05,7.39,1.75,11.66,0.3,-4.27
district,Bagmati,Lalitpur,Female,25 Year,1723,16,1496,211,0,0.93,12.25,0.56,9.71,0.93,12.25,-0.37,-2.54
district,Bagmati,Lalitpur,Male,25 Year,1596,9,1432,155,0,0.56,9.71,0.56,9.71,0.93,12.25,-0.37,-2.54
district,Bagmati,Lalitpur,Female,5 Year,3315,3132,13,169,1,94.48,5.1,94.72,4.98,94.48,5.1,0.24,-0.12
district,Bagmati,Lalitpur,Male,5 Year,3753,3555,11,187,0,94.72,4.98,94.72,4.98,94.48,5.1,0.24,-0.12
district,Bagmati,Lalitpur,Female,6 Year,3509,3405,18,86,0,97.04,2.45,97.94,1.78,97.04,2.45,0.9,-0.67
district,Bagmati,Lalitpur,Male,6 Year,3925,3844,11,70,0,97.94,1.78,97.94,1.78,97.04,2.45,0.9,-0.67
district,Bagmati,Lalitpur,Female,7 Year,3292,3241,6,45,0,98.45,1.37,98.35,1.19,98.45,1.37,-0.1,-0.18
district,Bagmati,Lalitpur,Male,7 Year,3767,3705,17,45,0,98.35,1.19,98.35,1.19,98.45,1.37,-0.1,-0.18
district,Bagmati,Lalitpur,Female,8 Year,3449,3404,16,29,0,98.7,0.84,98.58,1.14,98.7,0.84,-0.12,0.3
district,Bagmati,Lalitpur,Male,8 Year,3874,3819,11,44,0,98.58,1.14,98.58,1.14,98.7,0.84,-0.12,0.3
district,Bagmati,Lalitpur,Female,9 Year,3305,3261,18,26,0,98.67,0.79,98.74,0.56,98.67,0.79,0.07,-0.23
district,Bagmati,Lalitpur,Male,9 Year,3902,3853,27,22,0,98.74,0.56,98.74,0.56,98.67,0.79,0.07,-0.23
district,Bagmati,Lalitpur,Female,All Ages,52737,42542,8693,1496,6,80.67,2.84,79.99,2.45,80.67,2.84,-0.68,-0.39
district,Bagmati,Lalitpur,Male,All Ages,59796,47828,10501,1463,4,79.99,2.45,79.99,2.45,80.67,2.84,-0.68,-0.39
district,Bagmati,Makwanpur,Female,10 Year,4285,3848,338,99,0,89.8,2.31,88.56,2.06,89.8,2.31,-1.24,-0.25
district,Bagmati,Makwanpur,Male,10 Year,4570,4047,429,94,0,88.56,2.06,88.56,2.06,89.8,2.31,-1.24,-0.25
district,Bagmati,Makwanpur,Female,11 Year,3719,3467,179,73,0,93.22,1.96,91.66,1.82,93.22,1.96,-1.56,-0.14
district,Bagmati,Makwanpur,Male,11 Year,3849,3528,251,70,0,91.66,1.82,91.66,1.82,93.22,1.96,-1.56,-0.14
district,Bagmati,Makwanpur,Female,12 Year,4404,4106,218,80,0,93.23,1.82,91.65,2.49,93.23,1.82,-1.58,0.67
district,Bagmati,Makwanpur,Male,12 Year,4705,4312,276,117,0,91.65,2.49,91.65,2.49,93.23,1.82,-1.58,0.67
district,Bagmati,Makwanpur,Female,13 Year,4302,3988,242,72,0,92.7,1.67,89.73,2.08,92.7,1.67,-2.97,0.41
district,Bagmati,Makwanpur,Male,13 Year,4275,3836,350,89,0,89.73,2.08,89.73,2.08,92.7,1.67,-2.97,0.41
district,Bagmati,Makwanpur,Female,14 Year,4459,4042,337,80,0,90.65,1.79,85.95,2.34,90.65,1.79,-4.7,0.55
district,Bagmati,Makwanpur,Male,14 Year,4357,3745,510,102,0,85.95,2.34,85.95,2.34,90.65,1.79,-4.7,0.55
district,Bagmati,Makwanpur,Female,15 Year,4206,3553,548,105,0,84.47,2.5,77.9,2.96,84.47,2.5,-6.57,0.46
district,Bagmati,Makwanpur,Male,15 Year,4352,3390,833,129,0,77.9,2.96,77.9,2.96,84.47,2.5,-6.57,0.46
district,Bagmati,Makwanpur,Female,16 Year,3387,2561,714,112,0,75.61,3.31,67.13,3.27,75.61,3.31,-8.48,-0.04
district,Bagmati,Makwanpur,Male,16 Year,3794,2547,1123,124,0,67.13,3.27,67.13,3.27,75.61,3.31,-8.48,-0.04
district,Bagmati,Makwanpur,Female,17 Year,2482,1454,913,114,1,58.58,4.59,53.16,3.87,58.58,4.59,-5.42,-0.72
district,Bagmati,Makwanpur,Male,17 Year,2891,1537,1242,112,0,53.16,3.87,53.16,3.87,58.58,4.59,-5.42,-0.72
district,Bagmati,Makwanpur,Female,18 Year,2550,908,1482,160,0,35.61,6.27,30.48,5.7,35.61,6.27,-5.13,-0.57
district,Bagmati,Makwanpur,Male,18 Year,3245,989,2071,185,0,30.48,5.7,30.48,5.7,35.61,6.27,-5.13,-0.57
district,Bagmati,Makwanpur,Female,19 Year,2174,440,1572,162,0,20.24,7.45,17.77,5.81,20.24,7.45,-2.47,-1.64
district,Bagmati,Makwanpur,Male,19 Year,2532,450,1934,147,1,17.77,5.81,17.77,5.81,20.24,7.45,-2.47,-1.64
district,Bagmati,Makwanpur,Female,20 Year,2617,157,2200,260,0,6.0,9.94,5.96,6.59,6.0,9.94,-0.04,-3.35
district,Bagmati,Makwanpur,Male,20 Year,2884,172,2522,190,0,5.96,6.59,5.96,6.59,6.0,9.94,-0.04,-3.35
