geo_level,province,district,sex,age_group,population,attending,ever_attended_stopped,never_attended,not_stated,attendance_rate,never_attended_rate,attendance_rate_male,never_attended_rate_male,attendance_rate_female,never_attended_rate_female,attendance_rate_gap_pts,never_attended_rate_gap_pts
province,Bagmati,,Female,5 Year,42232,39486,157,2550,39,93.5,6.04,93.5,5.99,93.5,6.04,0.0,-0.05
province,Bagmati,,Male,5 Year,48082,44956,195,2880,51,93.5,5.99,93.5,5.99,93.5,6.04,0.0,-0.05
province,Bagmati,,Female,6 Year,44199,42784,179,1229,7,96.8,2.78,96.66,2.95,96.8,2.78,-0.14,0.17
province,Bagmati,,Male,6 Year,49777,48112,185,1466,14,96.66,2.95,96.66,2.95,96.8,2.78,-0.14,0.17
province,Bagmati,,Female,7 Year,41887,40994,155,735,3,97.87,1.75,97.85,1.75,97.87,1.75,-0.02,0.0
province,Bagmati,,Male,7 Year,46488,45489,179,814,6,97.85,1.75,97.85,1.75,97.87,1.75,-0.02,0.0
province,Bagmati,,Female,8 Year,43672,42866,213,592,1,98.15,1.36,98.21,1.32,98.15,1.36,0.06,-0.04
province,Bagmati,,Male,8 Year,49256,48372,232,649,3,98.21,1.32,98.21,1.32,98.15,1.36,0.06,-0.04
province,Bagmati,,Female,9 Year,43454,42709,258,485,2,98.29,1.12,98.31,1.05,98.29,1.12,0.02,-0.07
province,Bagmati,,Male,9 Year,48650,47826,309,511,4,98.31,1.05,98.31,1.05,98.29,1.12,0.02,-0.07
province,Bagmati,,Female,All Ages,704718,535075,143669,25893,81,75.93,3.67,76.04,3.04,75.93,3.67,0.11,-0.63
province,Bagmati,,Male,All Ages,776374,590389,162285,23594,106,76.04,3.04,76.04,3.04,75.93,3.67,0.11,-0.63
province,Gandaki,,Female,10 Year,20486,18983,1339,120,44,92.66,0.59,91.73,0.71,92.66,0.59,-0.93,0.12
province,Gandaki,,Male,10 Year,22570,20704,1653,160,53,91.73,0.71,91.73,0.71,92.66,0.59,-0.93,0.12
province,Gandaki,,Female,11 Year,19201,18434,616,125,26,96.01,0.65,95.08,0.69,96.01,0.65,-0.93,0.04
province,Gandaki,,Male,11 Year,20884,19856,839,144,45,95.08,0.69,95.08,0.69,96.01,0.65,-0.93,0.04
province,Gandaki,,Female,12 Year,21567,20879,532,112,44,96.81,0.52,96.31,0.65,96.81,0.52,-0.5,0.13
province,Gandaki,,Male,12 Year,23118,22264,660,150,44,96.31,0.65,96.31,0.65,96.81,0.52,-0.5,0.13
province,Gandaki,,Female,13 Year,21556,20880,517,118,41,96.86,0.55,96.24,0.61,96.86,0.55,-0.62,0.06
province,Gandaki,,Male,13 Year,22617,21766,678,139,34,96.24,0.61,96.24,0.61,96.86,0.55,-0.62,0.06
province,Gandaki,,Female,14 Year,22231,21444,637,109,41,96.46,0.49,94.99,0.73,96.46,0.49,-1.47,0.24
province,Gandaki,,Male,14 Year,23585,22403,956,172,54,94.99,0.73,94.99,0.73,96.46,0.49,-1.47,0.24
province,Gandaki,,Female,15 Year,20209,18795,1207,138,69,93.0,0.68,91.72,0.77,93.0,0.68,-1.28,0.09
province,Gandaki,,Male,15 Year,21812,20006,1556,169,81,91.72,0.77,91.72,0.77,93.0,0.68,-1.28,0.09
province,Gandaki,,Female,16 Year,13846,12021,1636,140,49,86.82,1.01,86.55,1.05,86.82,1.01,-0.27,0.04
province,Gandaki,,Male,16 Year,16333,14136,1959,171,67,86.55,1.05,86.55,1.05,86.82,1.01,-0.27,0.04
province,Gandaki,,Female,17 Year,8917,6299,2434,154,30,70.64,1.73,72.13,1.81,70.64,1.73,1.49,0.08
province,Gandaki,,Male,17 Year,10525,7592,2701,191,41,72.13,1.81,72.13,1.81,70.64,1.73,1.49,0.08
province,Gandaki,,Female,18 Year,8507,4112,4112,246,37,48.34,2.89,52.51,2.91,48.34,2.89,4.17,0.02
province,Gandaki,,Male,18 Year,9763,5127,4307,284,45,52.51,2.91,52.51,2.91,48.34,2.89,4.17,0.02
province,Gandaki,,Female,19 Year,6603,2047,4307,216,33,31.0,3.27,35.33,3.24,31.0,3.27,4.33,-0.03
province,Gandaki,,Male,19 Year,6787,2398,4139,220,30,35.33,3.24,35.33,3.24,31.0,3.27,4.33,-0.03
province,Gandaki,,Female,20 Year,7956,1058,6494,368,36,13.3,4.63,15.1,4.15,13.3,4.63,1.8,-0.48
province,Gandaki,,Male,20 Year,7370,1113,5917,306,34,15.1,4.15,15.1,4.15,13.3,4.63,1.8,-0.48
province,Gandaki,,Female,21 Year,7418,677,6330,378,33,9.13,5.1,11.29,4.67,9.13,5.1,2.16,-0.43
province,Gandaki,,Male,21 Year,6977,788,5819,326,44,11.29,4.67,11.29,4.67,9.13,5.1,2.16,-0.43
province,Gandaki,,Female,22 Year,8769,570,7667,491,41,6.5,5.6,8.31,4.2,6.5,5.6,1.81,-1.4
province,Gandaki,,Male,22 Year,7604,632,6625,319,28,8.31,4.2,8.31,4.2,6.5,5.6,1.81,-1.4
province,Gandaki,,Female,23 Year,9184,485,8142,510,47,5.28,5.55,6.5,4.32,5.28,5.55,1.22,-1.23
province,Gandaki,,Male,23 Year,7181,467,6376,310,28,6.5,4.32,6.5,4.32,5.28,5.55,1.22,-1.23
province,Gandaki,,Female,24 Year,9955,521,8837,564,33,5.23,5.67,5.9,4.76,5.23,5.67,0.67,-0.91
province,Gandaki,,Male,24 Year,7746,457,6891,369,29,5.9,4.76,5.9,4.76,5.23,5.67,0.67,-0.91
province,Gandaki,,Female,25 Year,11967,533,10517,858,59,4.45,7.17,4.97,5.11,4.45,7.17,0.52,-2.06
province,Gandaki,,Male,25 Year,8635,429,7722,441,43,4.97,5.11,4.97,5.11,4.45,7.17,0.52,-2.06
